title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Coronavirus Update: India’s COVID surge is ‘beyond heartbreaking,’ says WHO director-general, as first relief supplies arrive","The number of confirmed cases of the coronavirus-borne illness COVID-19 edged above  148 million on Tuesday, as India's surge continued to overwhelm its healthcare system amid a global effort to send much-needed relief to the nation of 1.4 billion.",2021-04-27 17:34:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3C4ABAF9F12%7D&siteid=rss&rss=1,MarketWatch,0.1625,0.35833333333333334,positive,0.1625,False,False,False,False,False,False,True,False,0.2,375,"['MRK', 'AZN', 'AZN', 'UPS', 'PFE', 'BNTX', 'MRNA', 'JNJ']",MRK,2021-04-27
"Pharma/Biotech Stocks' Q1 Earnings Queued for Apr 29: MRK, BMY & More","Let us take a look at what is in store for some of the pharma/biotech stocks, which are scheduled to report on Apr 29.",2021-04-28 15:14:00+00:00,http://www.zacks.com/stock/news/1467712/pharma-biotech-stocks-q1-earnings-queued-for-apr-29-mrk-bmy-more?cid=CS-ZC-FT-analyst_blog:_earnings_preview_-_esp|earnings_preview_-_esp-1467712,Zacks Investment Research,0.5,0.5,positive,0.5,True,False,False,False,False,False,False,False,0.0,189,"['BIIB', 'JNJ', 'GILD', 'MRK', 'NVS', 'BMY', 'VRTX']",MRK,2021-04-28
Why Merck (MRK) is a Great Dividend Stock Right Now,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Merck (MRK) have what it takes? Let's find out.",2021-04-28 15:45:06+00:00,http://www.zacks.com/stock/news/1467599/why-merck-mrk-is-a-great-dividend-stock-right-now?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_5-1467599,Zacks Investment Research,0.5338095238095238,0.6338095238095238,positive,0.5338095238095238,False,False,False,False,False,True,False,False,0.0,220,['MRK'],MRK,2021-04-28
Healthcare ETFs on Radar As Q1 Earnings Unfold,"Further price movement of the healthcare ETFs depend on earnings releases from some big names like Pfizer (PFE), Merck (MRK), Thermo Fisher (TMO), AbbVie (ABBV), and Gilead Sciences (GILD) that dominate returns.",2021-04-28 16:10:00+00:00,http://www.zacks.com/stock/news/1467714/healthcare-etfs-on-radar-as-q1-earnings-unfold?cid=CS-ZC-FT-etf_news_and_commentary-1467714,Zacks Investment Research,0.0,0.3,neutral,0.0,True,False,False,False,True,False,False,False,0.0,259,"['UNH', 'JNJ', 'PFE', 'GILD', 'MRK', 'TMO', 'ABBV', 'XLV', 'VHT', 'IYH', 'FHLC']",MRK,2021-04-28
"Earnings Scheduled For April 29, 2021","Companies Reporting Before The Bell
• OSI Systems (NASDAQ:OSIS) is estimated to report quarterly earnings at $1.33 per share on revenue of $290.51 million.
• Fomento Economico (NYSE:FMX) is likely to report quarterly earnings at $0.41 per share on revenue of $6.49 billion.
• PG&E (NYSE:PCG) is expected to report quarterly earnings at $0.27 per share on revenue of $4.83 billion.
• Silicom (NASDAQ:SILC) is likely to report quarterly earnings at $0.35 per share on revenue of $28.25 million.
• AllianceBernstein Holding (NYSE:AB) is expected to report quarterly earnings at $0.75 per share on revenue of $807.41 million.
• Alnylam Pharmaceuticals (NASDAQ:ALNY) is estimated to report quarterly loss at $1.75 per share on revenue of $168.74 million.
• Allegheny Technologies (NYSE:ATI) is expected to report quarterly loss at $0.24 per share on revenue of $638.31 million.
• Brunswick (NYSE:BC) is likely to report quarterly earnings at $1.44 per share on revenue of $1.21 billion.
• BGC Partners (NASDAQ:BGCP) is likely to report quarterly earnings at $0.18 per share on revenue of $573.00 million.
• Carlyle Group (NASDAQ:CG) is estimated to report quarterly earnings at $0.52 per share on revenue of $609.52 million.
• Cognyte Software (NASDAQ:CGNT) is expected to report quarterly earnings at $0.23 per share on revenue of $123.46 million.
• Church & Dwight Co (NYSE:CHD) is projected to report quarterly earnings at $0.81 per share on revenue of $1.20 billion.
• CMS Energy (NYSE:CMS) is estimated to report quarterly earnings at $1.11 per share on revenue of $2.06 billion.
• Consolidated Comms Hldgs (NASDAQ:CNSL) is estimated to report quarterly earnings at $0.06 per share on revenue of $316.99 million.
• Cohu (NASDAQ:COHU) is expected to report quarterly earnings at $0.79 per share on revenue of $222.85 million.
• Mr. Cooper Group (NASDAQ:COOP) is likely to report quarterly earnings at $2.36 per share on revenue of $914.44 million.
• Carpenter Tech (NYSE:CRS) is estimated to report quarterly loss at $0.57 per share on revenue of $368.43 million.
• Evelo Biosciences (NASDAQ:EVLO) is expected to report earnings for its first quarter.
• Genocea Biosciences (NASDAQ:GNCA) is projected to report earnings for its first quarter.
• Gol Intelligent Airlines (NYSE:GOL) is projected to report quarterly loss at $0.81 per share on revenue of $351.33 million.
• Great Western Bancorp (NYSE:GWB) is likely to report quarterly earnings at $0.61 per share on revenue of $117.44 million.
• Integer Holdings (NYSE:ITGR) is estimated to report quarterly earnings at $0.73 per share on revenue of $284.20 million.
• Kraft Heinz (NASDAQ:KHC) is estimated to report quarterly earnings at $0.59 per share on revenue of $6.25 billion.
• Mastercard (NYSE:MA) is estimated to report quarterly earnings at $1.57 per share on revenue of $3.99 billion.
• Meredith (NYSE:MDP) is projected to report quarterly earnings at $0.32 per share on revenue of $677.99 million.
• Magellan Midstream (NYSE:MMP) is projected to report quarterly earnings at $0.85 per share on revenue of $668.51 million.
• Medical Properties Trust (NYSE:MPW) is estimated to report quarterly earnings at $0.27 per share on revenue of $347.23 million.
• Nokia (NYSE:NOK) is estimated to report quarterly earnings at $0.01 per share on revenue of $5.83 billion.
• NexPoint Real Estate (NYSE:NREF) is estimated to report quarterly earnings at $0.51 per share on revenue of $8.69 million.
• nVent Electric (NYSE:NVT) is estimated to report quarterly earnings at $0.35 per share on revenue of $510.75 million.
• Overstock.com (NASDAQ:OSTK) is likely to report quarterly earnings at $0.05 per share on revenue of $582.35 million.
• Patrick Industries (NASDAQ:PATK) is likely to report quarterly earnings at $1.32 per share on revenue of $740.71 million.
• PBF Logistics (NYSE:PBFX) is likely to report quarterly earnings at $0.49 per share on revenue of $85.42 million.
• Perficient (NASDAQ:PRFT) is projected to report quarterly earnings at $0.67 per share on revenue of $166.62 million.
• Royal Caribbean Gr (NYSE:RCL) is projected to report quarterly loss at $4.63 per share on revenue of $37.56 million.
• Realogy Holdings (NYSE:RLGY) is likely to report quarterly loss at $0.06 per share on revenue of $1.51 billion.
• SolarWinds (NYSE:SWI) is projected to report quarterly earnings at $0.20 per share on revenue of $252.95 million.
• Millicom Intl Cellular (NASDAQ:TIGO) is projected to report quarterly earnings at $0.25 per share on revenue of $1.59 billion.
• Total (NYSE:TOT) is estimated to report quarterly earnings at $0.86 per share on revenue of $36.09 billion.
• TriMas (NASDAQ:TRS) is likely to report quarterly earnings at $0.37 per share on revenue of $195.56 million.
• Valley National (NASDAQ:VLY) is likely to report quarterly earnings at $0.29 per share on revenue of $334.27 million.
• Peabody Energy (NYSE:BTU) is projected to report quarterly loss at $0.80 per share on revenue of $667.25 million.
• Materion (NYSE:MTRN) is estimated to report quarterly earnings at $0.60 per share on revenue of $332.45 million.
• Alliance Data Systems (NYSE:ADS) is likely to report quarterly earnings at $3.16 per share on revenue of $1.06 billion.
• AGCO (NYSE:AGCO) is estimated to report quarterly earnings at $1.13 per share on revenue of $2.22 billion.
• BrightSphere Investment (NYSE:BSIG) is projected to report quarterly earnings at $0.40 per share on revenue of $161.57 million.
• CTS (NYSE:CTS) is likely to report quarterly earnings at $0.39 per share on revenue of $119.20 million.
• Domino's Pizza (NYSE:DPZ) is estimated to report quarterly earnings at $2.94 per share on revenue of $983.05 million.
• EMCOR Gr (NYSE:EME) is expected to report quarterly earnings at $1.22 per share on revenue of $2.20 billion.
• FTI Consulting (NYSE:FCN) is likely to report quarterly earnings at $1.34 per share on revenue of $619.13 million.
• Hilton Grand Vacations (NYSE:HGV) is projected to report quarterly loss at $0.03 per share on revenue of $216.96 million.
• Intercontinental Exchange (NYSE:ICE) is likely to report quarterly earnings at $1.30 per share on revenue of $1.77 billion.
• Lawson Products (NASDAQ:LAWS) is expected to report quarterly earnings at $0.55 per share on revenue of $105.00 million.
• Lindblad Expeditions (NASDAQ:LIND) is estimated to report quarterly loss at $0.55 per share on revenue of $920.00 thousand.
• MACOM Technology (NASDAQ:MTSI) is projected to report quarterly earnings at $0.47 per share on revenue of $150.06 million.
• Parker Hannifin (NYSE:PH) is projected to report quarterly earnings at $3.78 per share on revenue of $3.73 billion.
• Southern (NYSE:SOLN) is estimated to report earnings for its first quarter.
• iStar (NYSE:STAR) is estimated to report quarterly earnings at $0.11 per share on revenue of $100.20 million.
• West Bancorp (NASDAQ:WTBA) is likely to report quarterly earnings at $0.63 per share on revenue of $24.70 million.
• Baxter Intl (NYSE:BAX) is estimated to report quarterly earnings at $0.64 per share on revenue of $2.89 billion.
• Navios Maritime Partners (NYSE:NMM) is projected to report quarterly earnings at $1.73 per share on revenue of $67.55 million.
• S&P Global (NYSE:SPGI) is expected to report quarterly earnings at $3.03 per share on revenue of $1.93 billion.
• Group 1 Automotive (NYSE:GPI) is projected to report quarterly earnings at $4.43 per share on revenue of $2.69 billion.
• Citrix Systems (NASDAQ:CTXS) is expected to report quarterly earnings at $1.43 per share on revenue of $797.64 million.
• Abiomed (NASDAQ:ABMD) is projected to report quarterly earnings at $1.10 per share on revenue of $230.38 million.
• Allegiance Bancshares (NASDAQ:ABTX) is expected to report quarterly earnings at $0.83 per share on revenue of $58.15 million.
• Agios Pharmaceuticals (NASDAQ:AGIO) is expected to report quarterly loss at $1.32 per share on revenue of $44.60 million.
• Altra Industrial Motion (NASDAQ:AIMC) is projected to report quarterly earnings at $0.76 per share on revenue of $462.49 million.
• American Tower (NYSE:AMT) is projected to report quarterly earnings at $1.27 per share on revenue of $2.17 billion.
• Ardagh Group (NYSE:ARD) is estimated to report quarterly earnings at $0.37 per share on revenue of $1.73 billion.
• BCE (NYSE:BCE) is expected to report quarterly earnings at $0.65 per share on revenue of $4.43 billion.
• Bloomin Brands (NASDAQ:BLMN) is estimated to report quarterly earnings at $0.33 per share on revenue of $954.33 million.
• Bristol-Myers Squibb (NYSE:BMY) is estimated to report quarterly earnings at $1.81 per share on revenue of $11.11 billion.
• Blueprint Medicines (NASDAQ:BPMC) is expected to report quarterly loss at $1.86 per share on revenue of $17.25 million.
• Comcast (NASDAQ:CMCSA) is likely to report quarterly earnings at $0.58 per share on revenue of $26.72 billion.
• ConnectOne Bancorp (NASDAQ:CNOB) is estimated to report quarterly earnings at $0.67 per share on revenue of $61.71 million.
• Cowen (NASDAQ:COWN) is likely to report quarterly earnings at $3.21 per share on revenue of $528.58 million.
• Capital Product Partners (NASDAQ:CPLP) is likely to report quarterly earnings at $0.40 per share on revenue of $36.23 million.
• Hershey (NYSE:HSY) is estimated to report quarterly earnings at $1.80 per share on revenue of $2.11 billion.
• Imax (NYSE:IMAX) is likely to report quarterly loss at $0.25 per share on revenue of $38.49 million.
• International Paper (NYSE:IP) is likely to report quarterly earnings at $0.62 per share on revenue of $5.34 billion.
• Kirby (NYSE:KEX) is likely to report quarterly earnings at $0.12 per share on revenue of $476.02 million.
• Kimco Realty (NYSE:KIM) is expected to report quarterly earnings at $0.10 per share on revenue of $262.46 million.
• McDonald's (NYSE:MCD) is estimated to report quarterly earnings at $1.81 per share on revenue of $5.03 billion.
• Altria Group (NYSE:MO) is estimated to report quarterly earnings at $1.05 per share on revenue of $4.98 billion.
• Newmont (NYSE:NEM) is expected to report quarterly earnings at $0.79 per share on revenue of $3.26 billion.
• PROG Holdings (NYSE:PRG) is likely to report quarterly earnings at $0.91 per share on revenue of $662.93 million.
• Resolute Forest Products (NYSE:RFP) is likely to report quarterly earnings at $1.66 per share on revenue of $872.50 million.
• Stericycle (NASDAQ:SRCL) is estimated to report quarterly earnings at $0.59 per share on revenue of $648.52 million.
• Molson Coors Beverage (NYSE:TAP) is projected to report quarterly loss at $0.09 per ...Full story available on Benzinga.com",2021-04-29 08:10:14+00:00,https://www.benzinga.com/news/earnings/21/04/20855783/earnings-scheduled-for-april-29-2021,Benzinga,0.033035714285714265,0.6517857142857139,neutral,0.033035714285714265,True,False,False,False,True,False,False,False,0.0,10673,"['MMSI', 'NVCR', 'MHK', 'MTRN', 'SILC', 'NIO', 'SM', 'NXJ', 'MGNX', 'HSY', 'VLY', 'MRLN', 'WLTW', 'MMP', 'KMPR', 'SKYW', 'ONEW', 'SNN', 'PSI', 'TWTR', 'IBA', 'WAB', 'MSTR', 'ULH', 'MO', 'MITK', 'SRCL', 'ONTO', 'SO', 'WEX', 'LEAF', 'ICE', 'WDC', 'MTSI', 'SPGI', 'MPW', 'LKQ', 'STAR', 'NREF', 'SSL', 'WSC', 'QUMU', 'IDA', 'WST', 'MVIS', 'KNSL', 'MRK', 'VCRA', 'STRA', 'NTST', 'STM', 'AMZN', 'PBFX', 'INT', 'X', 'XEL', 'NATI', 'TRTN', 'NEM', 'LFVN', 'SWKS', 'SWI', 'HAYN', 'ZEN', 'IP', 'SPSC', 'OCFC', 'ITGR', 'NMM', 'THRM', 'TBBK', 'SWN', 'HTGC', 'MTLS', 'KBR', 'PEB', 'OMCL', 'HGV', 'NOC', 'RFP', 'TEAM', 'TAP', 'IMAX', 'TRUP', 'KEX', 'TW', 'OSIS', 'VRNA', 'NOK', 'SAND', 'TREE', 'TEX', 'KLAC', 'NVT', 'KIM', 'OSTK', 'JHG', 'OFC', 'WRAP', 'TROW', 'TFX', 'LAWS', 'NTP', 'KRG', 'PACB', 'PATK', 'VICI', 'PCG', 'SOLN', 'TXRH', 'THG', 'LLNW', 'GWB', 'LH', 'LTC', 'LPLA', 'POWI', 'SYNH', 'PH', 'RLGY', 'ULBI', 'TMO', 'LMAT', 'TUSK', 'MA', 'NPTN', 'PRFT', 'GSHD', 'RCL', 'PBF', 'USAK', 'TOT', 'LTRX', 'TACO', 'MCD', 'PRG', 'PTEN', 'OPI', 'RMD', 'ORC', 'VRTX', 'TPX', 'MATW', 'KHC', 'MDC', 'ZYXI', 'SGEN', 'KDP', 'ROG', 'TMHC', 'WTBA', 'TRS', 'MDRX', 'SRG', 'LIND', 'MDP', 'VC', 'SHEN', 'TIGO', 'SAH', 'NDLS', 'HP', 'TXT', 'MERC']",MRK,2021-04-29
Merck (MRK) Q1 Earnings and Revenues Lag Estimates,"Merck (MRK) delivered earnings and revenue surprises of -14.11% and -5.96%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-29 11:55:09+00:00,http://www.zacks.com/stock/news/1472421/merck-mrk-q1-earnings-and-revenues-lag-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1472421,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,235,['MRK'],MRK,2021-04-29
Low Volume Continued Ahead of Fed and FAANGs,Low Volume Continued Ahead of Fed and FAANGs,2021-04-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-29194,Zacks Investment Research,0.0,0.3,neutral,0.0,False,False,False,False,False,False,False,False,0.0,90,"['GOOG', 'MSFT', 'AAPL', 'FB', 'AMZN', 'MA', 'CMCSA', 'MRK', 'MCD', 'CAT', 'SLCA', 'PRIM', 'MTSI', 'BMI', 'EVRI']",MRK,2021-04-29
What's Behind Merck's Q1 Earnings Miss,The big drugmaker's declining vaccine sales were the biggest problem.,2021-04-29 15:18:22+00:00,https://www.fool.com/investing/2021/04/29/whats-behind-mercks-q1-earnings-miss/?source=iedfolrf0000001,The Motley Fool,-0.2,0.39999999999999997,negative,0.2,True,False,False,False,False,False,False,False,0.0,109,['MRK'],MRK,2021-04-29
"Merck (MRK) Q1 Earnings & Sales Miss, COVID-19 Hurts Vaccines",Merck (MRK) misses Q1 estimates for earnings and sales. Stock down in pre-market.,2021-04-29 15:28:00+00:00,http://www.zacks.com/stock/news/1473513/merck-mrk-q1-earnings-sales-miss-covid-19-hurts-vaccines?cid=CS-ZC-FT-analyst_blog|earnings_article-1473513,Zacks Investment Research,-0.15555555555555559,0.2888888888888889,negative,0.15555555555555559,True,False,False,False,False,False,False,False,0.0,144,"['JNJ', 'AZN', 'MRK', 'BMY']",MRK,2021-04-29
Merck & Co. (MRK) Q1 2021 Earnings Call Transcript,"MRK earnings call for the period ending March 31, 2021.",2021-04-29 15:30:51+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/29/merck-co-mrk-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,107,['MRK'],MRK,2021-04-29
"Market Snapshot: S&P 500 ends at new record on stellar tech earnings, surge in U.S. economic growth","Stocks recorded modest gains on Thursday after a round of upbeat earnings reports from tech heavyweights, but saw some turbulence midday as Treasury yields rose and investors questioned how much good news was priced into the market.",2021-04-29 20:19:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D0A3F741EB%7D&siteid=rss&rss=1,MarketWatch,0.2551948051948052,0.5363636363636364,positive,0.2551948051948052,True,False,False,False,False,False,False,False,0.0,333,"['COMP', 'AAPL', 'FB', 'F', 'EBAY', 'QCOM', 'CAT', 'MRK', 'VZ', 'MCD', 'CCL', 'RCL', 'NCLH', 'UBER', 'LYFT']",MRK,2021-04-29
Why Merck Stock Dropped Today,Investors were not impressed with the company's latest quarterly update.,2021-04-29 20:26:40+00:00,https://www.fool.com/investing/2021/04/29/why-merck-stock-dropped-today/?source=iedfolrf0000001,The Motley Fool,0.0,0.95,neutral,0.0,False,False,False,False,False,False,False,False,0.0,103,['MRK'],MRK,2021-04-29
Wall Street Breakfast: The Magic Returns,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-30 11:13:26+00:00,https://seekingalpha.com/article/4422806-wall-street-breakfast-magic-returns?source=feed,Seeking Alpha,0.3416666666666666,0.4666666666666666,positive,0.3416666666666666,False,False,False,False,False,False,False,False,0.0,179,"['EDR', 'MSFT', 'BCS', 'BA', 'AZN', 'GM', 'F', 'MO', 'AMZN', 'BMY', 'CAT', 'CMCSA', 'GILD', 'KHC', 'MA', 'MCD', 'MRK', 'MVIS', 'NEM', 'NIO', 'SWKS', 'SO', 'TWTR', 'DIS', 'XOM', 'CVX', 'JD', 'BABA', 'BRK.A', 'BRK.B', 'AAPL']",MRK,2021-04-30
"Company News for Apr 30, 2021","Companies in The News Are: MRK,KHC,SO,NOC",2021-04-30 12:58:00+00:00,http://www.zacks.com/stock/news/1478838/company-news-for-apr-30-2021?cid=CS-ZC-FT-corporate_summary-1478838,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,72,"['NOC', 'SO', 'MRK', 'KHC']",MRK,2021-04-30
"Gilead (GILD) Beats on Q1 Earnings, HIV Sales Decline",Gilead (GILD) reports mixed results for the first quarter as the ongoing pandemic adversely impacted core HIV segment sales.,2021-04-30 14:00:00+00:00,http://www.zacks.com/stock/news/1479132/gilead-gild-beats-on-q1-earnings-hiv-sales-decline?cid=CS-ZC-FT-analyst_blog|earnings_article-1479132,Zacks Investment Research,0.125,0.29166666666666663,positive,0.125,True,False,False,False,False,False,False,False,0.0,179,"['NVO', 'GILD', 'MRK', 'GSK']",MRK,2021-04-30
"AstraZeneca (AZN) Q1 Earnings Top, COVID-19 Vaccine Adds $275M",AstraZeneca (AZN) surpasses first-quarter estimates on both counts. Stock up in pre-market.,2021-04-30 14:19:00+00:00,http://www.zacks.com/stock/news/1479191/astrazeneca-azn-q1-earnings-top-covid-19-vaccine-adds-%24275m?cid=CS-ZC-FT-analyst_blog|earnings_article-1479191,Zacks Investment Research,0.5,0.5,positive,0.5,True,False,False,False,False,False,False,False,0.0,155,"['ALXN', 'AZN', 'PFE', 'MRK']",MRK,2021-04-30
