title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Stocks Start the Week by Soaring More Than 3%,Stocks Start the Week by Soaring More Than 3%,2020-03-31 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-24856,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,92,"['NKE', 'EXPI', 'XEL', 'SEDG', 'PDCO', 'BAH', 'ATO', 'NEM', 'SFM', 'STNG', 'PSX', 'UNG', 'USO', 'UGA', 'FB', 'JNJ', 'RDWR', 'UPRO', 'TQQQ', 'NVDA', 'AYX']",XEL,2020-03-31
"FirstEnergy's (FE) Q1 Earnings Beat, Revenues Lag Estimates",FirstEnergy's (FE) Q1 results reflect better year-over-year earnings as well as revenues on the back of higher residential demand.,2021-04-23 15:54:00+00:00,http://www.zacks.com/stock/news/1442089/firstenergys-fe-q1-earnings-beat-revenues-lag-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1442089,Zacks Investment Research,0.25,0.3333333333333333,positive,0.25,True,False,False,False,False,False,False,False,0.0,191,"['FE', 'AEP', 'XEL', 'NEE']",XEL,2021-04-23
3 Dividend Stocks Perfect for Retirees,"Once you're living off your investments, stocks with reliable and growing payouts become more than attractive -- they become essential.",2021-04-24 14:23:00+00:00,https://www.fool.com/investing/2021/04/24/3-dividend-stocks-perfect-for-retirees/?source=iedfolrf0000001,The Motley Fool,0.575,0.7,positive,0.575,False,False,False,False,False,True,False,False,0.0,175,"['BIP', 'XEL', 'CPT', 'BIPC']",XEL,2021-04-24
Entergy (ETR) to Report Q1 Earnings: What's in the Cards?,Entergy's (ETR) Q1 results are expected to reflect favorable weather impacts,2021-04-26 12:58:00+00:00,http://www.zacks.com/stock/news/1456120/entergy-etr-to-report-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1456120,Zacks Investment Research,-0.1,0.4,neutral,0.1,True,False,False,False,False,False,False,False,0.0,135,"['ETR', 'CNP', 'XEL', 'DUK']",XEL,2021-04-26
CMS Energy (CMS) to Report Q1 Earnings: What's in the Cards?,CMS Energy's (CMS) Q1 results are expected to reflect favorable weather conditions and recovering economic activities in Michigan,2021-04-26 13:43:00+00:00,http://www.zacks.com/stock/news/1456328/cms-energy-cms-to-report-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1456328,Zacks Investment Research,0.05,0.30000000000000004,neutral,0.05,True,False,False,False,False,False,False,False,0.0,191,"['CMS', 'CNP', 'XEL', 'DUK']",XEL,2021-04-26
What's in the Cards for Xcel Energy (XEL) in Q1 Earnings?,Improving demand and efforts to cut costs are likely to aid Xcel Energy's (XEL) first-quarter earnings results.,2021-04-26 16:07:00+00:00,http://www.zacks.com/stock/news/1457020/whats-in-the-cards-for-xcel-energy-xel-in-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1457020,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,170,"['CNP', 'XEL', 'DTE', 'DUK']",XEL,2021-04-26
PG&E (PCG) to Report Q1 Earnings: What's in the Offing?,PG&E Corporation's (PCG) wildfire-related costs and storm-related damages are likely to have negatively impacted its bottom-line performance in the first quarter.,2021-04-27 16:37:00+00:00,http://www.zacks.com/stock/news/1462679/pge-pcg-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462679,Zacks Investment Research,-0.016666666666666663,0.5777777777777777,neutral,0.016666666666666663,True,False,False,False,False,False,False,False,0.0,219,"['CNP', 'XEL', 'DUK', 'PCG']",XEL,2021-04-27
"Utility Stock Q1 Earnings Due on Apr 29: XEL, PCG, CMS & SO","Let's focus on Utilities like XEL, PCG, CMS and SO that are scheduled to report first-quarter 2021 results on Apr 29.",2021-04-28 13:24:00+00:00,http://www.zacks.com/stock/news/1467022/utility-stock-q1-earnings-due-on-apr-29-xel-pcg-cms-so?cid=CS-ZC-FT-analyst_blog:_earnings_preview_-_esp|earnings_preview_-_esp-1467022,Zacks Investment Research,-0.125,0.375,negative,0.125,True,False,False,False,False,False,False,False,0.0,178,"['SO', 'CMS', 'XEL', 'DTE', 'NEE', 'PCG']",XEL,2021-04-28
"Earnings Scheduled For April 29, 2021","Companies Reporting Before The Bell
• OSI Systems (NASDAQ:OSIS) is estimated to report quarterly earnings at $1.33 per share on revenue of $290.51 million.
• Fomento Economico (NYSE:FMX) is likely to report quarterly earnings at $0.41 per share on revenue of $6.49 billion.
• PG&E (NYSE:PCG) is expected to report quarterly earnings at $0.27 per share on revenue of $4.83 billion.
• Silicom (NASDAQ:SILC) is likely to report quarterly earnings at $0.35 per share on revenue of $28.25 million.
• AllianceBernstein Holding (NYSE:AB) is expected to report quarterly earnings at $0.75 per share on revenue of $807.41 million.
• Alnylam Pharmaceuticals (NASDAQ:ALNY) is estimated to report quarterly loss at $1.75 per share on revenue of $168.74 million.
• Allegheny Technologies (NYSE:ATI) is expected to report quarterly loss at $0.24 per share on revenue of $638.31 million.
• Brunswick (NYSE:BC) is likely to report quarterly earnings at $1.44 per share on revenue of $1.21 billion.
• BGC Partners (NASDAQ:BGCP) is likely to report quarterly earnings at $0.18 per share on revenue of $573.00 million.
• Carlyle Group (NASDAQ:CG) is estimated to report quarterly earnings at $0.52 per share on revenue of $609.52 million.
• Cognyte Software (NASDAQ:CGNT) is expected to report quarterly earnings at $0.23 per share on revenue of $123.46 million.
• Church & Dwight Co (NYSE:CHD) is projected to report quarterly earnings at $0.81 per share on revenue of $1.20 billion.
• CMS Energy (NYSE:CMS) is estimated to report quarterly earnings at $1.11 per share on revenue of $2.06 billion.
• Consolidated Comms Hldgs (NASDAQ:CNSL) is estimated to report quarterly earnings at $0.06 per share on revenue of $316.99 million.
• Cohu (NASDAQ:COHU) is expected to report quarterly earnings at $0.79 per share on revenue of $222.85 million.
• Mr. Cooper Group (NASDAQ:COOP) is likely to report quarterly earnings at $2.36 per share on revenue of $914.44 million.
• Carpenter Tech (NYSE:CRS) is estimated to report quarterly loss at $0.57 per share on revenue of $368.43 million.
• Evelo Biosciences (NASDAQ:EVLO) is expected to report earnings for its first quarter.
• Genocea Biosciences (NASDAQ:GNCA) is projected to report earnings for its first quarter.
• Gol Intelligent Airlines (NYSE:GOL) is projected to report quarterly loss at $0.81 per share on revenue of $351.33 million.
• Great Western Bancorp (NYSE:GWB) is likely to report quarterly earnings at $0.61 per share on revenue of $117.44 million.
• Integer Holdings (NYSE:ITGR) is estimated to report quarterly earnings at $0.73 per share on revenue of $284.20 million.
• Kraft Heinz (NASDAQ:KHC) is estimated to report quarterly earnings at $0.59 per share on revenue of $6.25 billion.
• Mastercard (NYSE:MA) is estimated to report quarterly earnings at $1.57 per share on revenue of $3.99 billion.
• Meredith (NYSE:MDP) is projected to report quarterly earnings at $0.32 per share on revenue of $677.99 million.
• Magellan Midstream (NYSE:MMP) is projected to report quarterly earnings at $0.85 per share on revenue of $668.51 million.
• Medical Properties Trust (NYSE:MPW) is estimated to report quarterly earnings at $0.27 per share on revenue of $347.23 million.
• Nokia (NYSE:NOK) is estimated to report quarterly earnings at $0.01 per share on revenue of $5.83 billion.
• NexPoint Real Estate (NYSE:NREF) is estimated to report quarterly earnings at $0.51 per share on revenue of $8.69 million.
• nVent Electric (NYSE:NVT) is estimated to report quarterly earnings at $0.35 per share on revenue of $510.75 million.
• Overstock.com (NASDAQ:OSTK) is likely to report quarterly earnings at $0.05 per share on revenue of $582.35 million.
• Patrick Industries (NASDAQ:PATK) is likely to report quarterly earnings at $1.32 per share on revenue of $740.71 million.
• PBF Logistics (NYSE:PBFX) is likely to report quarterly earnings at $0.49 per share on revenue of $85.42 million.
• Perficient (NASDAQ:PRFT) is projected to report quarterly earnings at $0.67 per share on revenue of $166.62 million.
• Royal Caribbean Gr (NYSE:RCL) is projected to report quarterly loss at $4.63 per share on revenue of $37.56 million.
• Realogy Holdings (NYSE:RLGY) is likely to report quarterly loss at $0.06 per share on revenue of $1.51 billion.
• SolarWinds (NYSE:SWI) is projected to report quarterly earnings at $0.20 per share on revenue of $252.95 million.
• Millicom Intl Cellular (NASDAQ:TIGO) is projected to report quarterly earnings at $0.25 per share on revenue of $1.59 billion.
• Total (NYSE:TOT) is estimated to report quarterly earnings at $0.86 per share on revenue of $36.09 billion.
• TriMas (NASDAQ:TRS) is likely to report quarterly earnings at $0.37 per share on revenue of $195.56 million.
• Valley National (NASDAQ:VLY) is likely to report quarterly earnings at $0.29 per share on revenue of $334.27 million.
• Peabody Energy (NYSE:BTU) is projected to report quarterly loss at $0.80 per share on revenue of $667.25 million.
• Materion (NYSE:MTRN) is estimated to report quarterly earnings at $0.60 per share on revenue of $332.45 million.
• Alliance Data Systems (NYSE:ADS) is likely to report quarterly earnings at $3.16 per share on revenue of $1.06 billion.
• AGCO (NYSE:AGCO) is estimated to report quarterly earnings at $1.13 per share on revenue of $2.22 billion.
• BrightSphere Investment (NYSE:BSIG) is projected to report quarterly earnings at $0.40 per share on revenue of $161.57 million.
• CTS (NYSE:CTS) is likely to report quarterly earnings at $0.39 per share on revenue of $119.20 million.
• Domino's Pizza (NYSE:DPZ) is estimated to report quarterly earnings at $2.94 per share on revenue of $983.05 million.
• EMCOR Gr (NYSE:EME) is expected to report quarterly earnings at $1.22 per share on revenue of $2.20 billion.
• FTI Consulting (NYSE:FCN) is likely to report quarterly earnings at $1.34 per share on revenue of $619.13 million.
• Hilton Grand Vacations (NYSE:HGV) is projected to report quarterly loss at $0.03 per share on revenue of $216.96 million.
• Intercontinental Exchange (NYSE:ICE) is likely to report quarterly earnings at $1.30 per share on revenue of $1.77 billion.
• Lawson Products (NASDAQ:LAWS) is expected to report quarterly earnings at $0.55 per share on revenue of $105.00 million.
• Lindblad Expeditions (NASDAQ:LIND) is estimated to report quarterly loss at $0.55 per share on revenue of $920.00 thousand.
• MACOM Technology (NASDAQ:MTSI) is projected to report quarterly earnings at $0.47 per share on revenue of $150.06 million.
• Parker Hannifin (NYSE:PH) is projected to report quarterly earnings at $3.78 per share on revenue of $3.73 billion.
• Southern (NYSE:SOLN) is estimated to report earnings for its first quarter.
• iStar (NYSE:STAR) is estimated to report quarterly earnings at $0.11 per share on revenue of $100.20 million.
• West Bancorp (NASDAQ:WTBA) is likely to report quarterly earnings at $0.63 per share on revenue of $24.70 million.
• Baxter Intl (NYSE:BAX) is estimated to report quarterly earnings at $0.64 per share on revenue of $2.89 billion.
• Navios Maritime Partners (NYSE:NMM) is projected to report quarterly earnings at $1.73 per share on revenue of $67.55 million.
• S&P Global (NYSE:SPGI) is expected to report quarterly earnings at $3.03 per share on revenue of $1.93 billion.
• Group 1 Automotive (NYSE:GPI) is projected to report quarterly earnings at $4.43 per share on revenue of $2.69 billion.
• Citrix Systems (NASDAQ:CTXS) is expected to report quarterly earnings at $1.43 per share on revenue of $797.64 million.
• Abiomed (NASDAQ:ABMD) is projected to report quarterly earnings at $1.10 per share on revenue of $230.38 million.
• Allegiance Bancshares (NASDAQ:ABTX) is expected to report quarterly earnings at $0.83 per share on revenue of $58.15 million.
• Agios Pharmaceuticals (NASDAQ:AGIO) is expected to report quarterly loss at $1.32 per share on revenue of $44.60 million.
• Altra Industrial Motion (NASDAQ:AIMC) is projected to report quarterly earnings at $0.76 per share on revenue of $462.49 million.
• American Tower (NYSE:AMT) is projected to report quarterly earnings at $1.27 per share on revenue of $2.17 billion.
• Ardagh Group (NYSE:ARD) is estimated to report quarterly earnings at $0.37 per share on revenue of $1.73 billion.
• BCE (NYSE:BCE) is expected to report quarterly earnings at $0.65 per share on revenue of $4.43 billion.
• Bloomin Brands (NASDAQ:BLMN) is estimated to report quarterly earnings at $0.33 per share on revenue of $954.33 million.
• Bristol-Myers Squibb (NYSE:BMY) is estimated to report quarterly earnings at $1.81 per share on revenue of $11.11 billion.
• Blueprint Medicines (NASDAQ:BPMC) is expected to report quarterly loss at $1.86 per share on revenue of $17.25 million.
• Comcast (NASDAQ:CMCSA) is likely to report quarterly earnings at $0.58 per share on revenue of $26.72 billion.
• ConnectOne Bancorp (NASDAQ:CNOB) is estimated to report quarterly earnings at $0.67 per share on revenue of $61.71 million.
• Cowen (NASDAQ:COWN) is likely to report quarterly earnings at $3.21 per share on revenue of $528.58 million.
• Capital Product Partners (NASDAQ:CPLP) is likely to report quarterly earnings at $0.40 per share on revenue of $36.23 million.
• Hershey (NYSE:HSY) is estimated to report quarterly earnings at $1.80 per share on revenue of $2.11 billion.
• Imax (NYSE:IMAX) is likely to report quarterly loss at $0.25 per share on revenue of $38.49 million.
• International Paper (NYSE:IP) is likely to report quarterly earnings at $0.62 per share on revenue of $5.34 billion.
• Kirby (NYSE:KEX) is likely to report quarterly earnings at $0.12 per share on revenue of $476.02 million.
• Kimco Realty (NYSE:KIM) is expected to report quarterly earnings at $0.10 per share on revenue of $262.46 million.
• McDonald's (NYSE:MCD) is estimated to report quarterly earnings at $1.81 per share on revenue of $5.03 billion.
• Altria Group (NYSE:MO) is estimated to report quarterly earnings at $1.05 per share on revenue of $4.98 billion.
• Newmont (NYSE:NEM) is expected to report quarterly earnings at $0.79 per share on revenue of $3.26 billion.
• PROG Holdings (NYSE:PRG) is likely to report quarterly earnings at $0.91 per share on revenue of $662.93 million.
• Resolute Forest Products (NYSE:RFP) is likely to report quarterly earnings at $1.66 per share on revenue of $872.50 million.
• Stericycle (NASDAQ:SRCL) is estimated to report quarterly earnings at $0.59 per share on revenue of $648.52 million.
• Molson Coors Beverage (NYSE:TAP) is projected to report quarterly loss at $0.09 per ...Full story available on Benzinga.com",2021-04-29 08:10:14+00:00,https://www.benzinga.com/news/earnings/21/04/20855783/earnings-scheduled-for-april-29-2021,Benzinga,0.033035714285714265,0.6517857142857139,neutral,0.033035714285714265,True,False,False,False,True,False,False,False,0.0,10673,"['MMSI', 'NVCR', 'MHK', 'MTRN', 'SILC', 'NIO', 'SM', 'NXJ', 'MGNX', 'HSY', 'VLY', 'MRLN', 'WLTW', 'MMP', 'KMPR', 'SKYW', 'ONEW', 'SNN', 'PSI', 'TWTR', 'IBA', 'WAB', 'MSTR', 'ULH', 'MO', 'MITK', 'SRCL', 'ONTO', 'SO', 'WEX', 'LEAF', 'ICE', 'WDC', 'MTSI', 'SPGI', 'MPW', 'LKQ', 'STAR', 'NREF', 'SSL', 'WSC', 'QUMU', 'IDA', 'WST', 'MVIS', 'KNSL', 'MRK', 'VCRA', 'STRA', 'NTST', 'STM', 'AMZN', 'PBFX', 'INT', 'X', 'XEL', 'NATI', 'TRTN', 'NEM', 'LFVN', 'SWKS', 'SWI', 'HAYN', 'ZEN', 'IP', 'SPSC', 'OCFC', 'ITGR', 'NMM', 'THRM', 'TBBK', 'SWN', 'HTGC', 'MTLS', 'KBR', 'PEB', 'OMCL', 'HGV', 'NOC', 'RFP', 'TEAM', 'TAP', 'IMAX', 'TRUP', 'KEX', 'TW', 'OSIS', 'VRNA', 'NOK', 'SAND', 'TREE', 'TEX', 'KLAC', 'NVT', 'KIM', 'OSTK', 'JHG', 'OFC', 'WRAP', 'TROW', 'TFX', 'LAWS', 'NTP', 'KRG', 'PACB', 'PATK', 'VICI', 'PCG', 'SOLN', 'TXRH', 'THG', 'LLNW', 'GWB', 'LH', 'LTC', 'LPLA', 'POWI', 'SYNH', 'PH', 'RLGY', 'ULBI', 'TMO', 'LMAT', 'TUSK', 'MA', 'NPTN', 'PRFT', 'GSHD', 'RCL', 'PBF', 'USAK', 'TOT', 'LTRX', 'TACO', 'MCD', 'PRG', 'PTEN', 'OPI', 'RMD', 'ORC', 'VRTX', 'TPX', 'MATW', 'KHC', 'MDC', 'ZYXI', 'SGEN', 'KDP', 'ROG', 'TMHC', 'WTBA', 'TRS', 'MDRX', 'SRG', 'LIND', 'MDP', 'VC', 'SHEN', 'TIGO', 'SAH', 'NDLS', 'HP', 'TXT', 'MERC']",XEL,2021-04-29
Xcel Energy (XEL) Q1 Earnings & Revenues Surpass Estimates,"Xcel Energy (XEL) delivers better-than-expected first-quarter results. The top line also increases on a year-over-year basis, backed by an improved performance of the electric and natural gas segment.",2021-04-29 17:18:00+00:00,http://www.zacks.com/stock/news/1474308/xcel-energy-xel-q1-earnings-revenues-surpass-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1474308,Zacks Investment Research,0.3,0.45,positive,0.3,True,False,False,False,False,False,False,False,0.0,260,"['FE', 'AEP', 'XEL', 'NEE']",XEL,2021-04-29
